school_district,district_type,menu_item,count,dates,plant_based,vegetarian
Banta,"",asdf,1,"",N,N
Banta,asdf,afsfsfsf,1,"",N,N
Banta,asdf,fsfsfs,1,"",N,N
Banta,Elem-High,fsf,1,"",N,N
Banta,Elem-High,sfs,1,"",N,N
Banta,Elem-Highasdf,asdf,1,"",N,N
Banta,Elem-Highasdf,Corn Dog Orange Ice Bat Chillin Frozen Fruit,2,"",N,N
Banta,Elementary,Chicken Nuggets with,4,"",N,YU
Banta,Elementary,Cinni Mini,1,"",N,N
Banta,Elementary,Kiwi Strawberry Juice,1,12/1/2023,"",Y
Banta,Elementary,NO SCHOOL,2,"",N,N
Banta,Elementary,Orange Chicken over Rice,1,12/14/2023,N,N
Banta,Elementary,Pumpkin Scone,3,"",N,N
Banta,Elementary,Teriyaki Chicken over Rice,2,"",N,N
Banta,Elementary,Turkey Bacon on English,1,12/19/2023,N,""
Banta,Elementary,Yogurt Parfait with,1,12/1/2023,N,N
Banta,Middle,ff,1,12/13/2023,N,N
