school_district,district_type,menu_item,count,plant_based,vegetarian
"","",Cinni Mini,1,N,N
Banfa,"",Yogurt Parfait with,6,N,N
sadf sfsadf,"",sfs,1,N,N
Banta asdfja;sdf jfdsjkla; fds;jklsdaf;jklfd asjkl;fasdjkl;sd,Elementary,"",1,Y,N
Banta asdfja;sdf jfdsjkla; fds;jklsdaf;jklfd asjkl;fasdjkl;sd,Elementary,sf,5,Y,N
Banta asdfja;sdf jfdsjkla; fds;jklsdaf;jklfd asjkl;fasdjkl;sd,Elementary,ad,5,Y,N
Banta asdfja;sdf jfdsjkla; fds;jklsdaf;jklfd asjkl;fasdjkl;sd,Elementary,NO SCHOOL,5,Y,N
Banta,Elementary,Pumpkin Scone,5,Y,N
Banta,Elementary,Cheese Pizza,1,Y,N
Banta,Elementary,NO SCHOOL,6,N,N
Banta,Elementary,Concha,1,N,N
Banta,Elementary,Orange Ice Bat Chillin,1,N,N
Banta,Elementary,Corn Dog,1,N,N
Banta,Elementary,Berry Juice,1,N,N
Banta,Elementary,Chicken Alfredo with Breadstick,1,N,N
Banta,Elementary,Chicken Nuggets with Nacho Chips,1,N,N
Banta,Elementary,Hamburger on a Bun,1,N,N
Banta,Elementary,Mac & Cheese with Goldfish Pretzels,1,N,N
Banta,Elementary,Slammer,1,N,N
Banta,Elementary,Pepperoni Pizza,1,N,N
